date,cash_rate,scrape_date
2026-04,4.095,2026-04-14
2026-05,4.24,2026-04-15
2026-06,4.295,2026-04-15
2026-07,4.325,2026-04-15
2026-08,4.425,2026-04-14
2026-09,4.48,2026-04-14
2026-10,4.555,2026-04-02
2026-11,4.62,2026-04-15
2026-12,4.615,2026-04-07
2027-01,4.63,
2027-02,4.625,
2027-03,4.62,
2027-04,4.61,
2027-05,4.59,
2027-06,4.58,
2027-07,4.555,
2027-08,4.535,
2027-09,4.52,
