date,cash_rate,scrape_date
2026-09,4.355,2026-09-22
2026-10,4.57,2026-09-22
2026-11,4.7,2026-09-21
2026-12,4.745,2026-09-21
2027-01,4.75,2026-09-15
2027-02,4.83,2026-09-15
2027-03,4.875,2026-09-22
2027-04,4.925,2026-08-20
2027-05,4.985,2026-09-11
2027-06,4.995,
2027-07,5.005,
2027-08,5.005,
2027-09,5.0,
2027-10,5.005,2026-09-11
2027-11,4.985,
2027-12,4.965,
2028-01,4.945,
2028-02,4.915,
