date,cash_rate,scrape_date
2026-03,3.875,2026-03-06
2026-04,3.91,2026-03-06
2026-05,4.075,2026-03-06
2026-06,4.13,2026-03-02
2026-07,4.15,2026-03-05
2026-08,4.245,2025-12-09
2026-09,4.295,2026-03-03
2026-10,4.315,2026-03-02
2026-11,4.36,2025-12-09
2026-12,4.365,2026-03-05
2027-01,4.365,
2027-02,4.365,
2027-03,4.36,
2027-04,4.355,
2027-05,4.345,
2027-06,4.34,
2027-07,4.325,
2027-08,4.32,
