date,cash_rate,scrape_date
2026-08,4.345,2026-08-27
2026-09,4.35,2026-08-27
2026-10,4.465,2026-08-27
2026-11,4.58,2026-08-27
2026-12,4.615,2026-08-26
2027-01,4.625,2026-07-23
2027-02,4.655,2026-07-23
2027-03,4.67,
2027-04,4.67,2026-08-20
2027-05,4.665,2026-07-30
2027-06,4.66,
2027-07,4.65,
2027-08,4.64,
2027-09,4.625,
2027-10,4.61,2026-06-17
2027-11,4.58,
2027-12,4.56,
2028-01,4.545,
