date,cash_rate,scrape_date
2025-04,4.085,2025-04-22
2025-05,3.98,2025-04-24
2025-06,3.785,2025-04-24
2025-07,3.63,2025-04-24
2025-08,3.415,2025-04-24
2025-09,3.325,2025-04-24
2025-10,3.165,2025-04-24
2025-11,2.985,2025-04-24
2025-12,2.95,2025-04-23
2026-01,2.935,2025-04-23
2026-02,2.915,
2026-03,2.9,
2026-04,2.885,
2026-05,2.87,
2026-06,2.87,
2026-07,2.87,
2026-08,2.88,
2026-09,2.885,
