date,cash_rate,scrape_date
2026-09,4.35,2026-09-03
2026-10,4.505,2026-09-03
2026-11,4.615,2026-09-02
2026-12,4.645,2026-09-03
2027-01,4.655,2026-07-23
2027-02,4.69,2026-07-23
2027-03,4.715,
2027-04,4.72,2026-08-20
2027-05,4.73,2026-07-30
2027-06,4.73,
2027-07,4.735,
2027-08,4.73,
2027-09,4.725,
2027-10,4.71,2026-06-17
2027-11,4.69,
2027-12,4.67,
2028-01,4.655,
2028-02,4.625,
