date,cash_rate,scrape_date
2025-08,3.685,2025-08-15
2025-09,3.585,2025-08-19
2025-10,3.515,2025-08-19
2025-11,3.345,2025-08-19
2025-12,3.275,2025-08-19
2026-01,3.245,2025-08-19
2026-02,3.13,2025-06-30
2026-03,3.11,2025-08-08
2026-04,3.1,2025-08-08
2026-05,3.065,2025-08-04
2026-06,3.06,2025-07-21
2026-07,3.045,
2026-08,3.045,
2026-09,3.045,
2026-10,3.055,
2026-11,3.06,
2026-12,3.07,
2027-01,3.07,
