date,cash_rate,scrape_date
2025-07,3.66,2025-07-07
2025-08,3.485,2025-07-07
2025-09,3.415,2025-07-07
2025-10,3.32,2025-07-07
2025-11,3.165,2025-07-07
2025-12,3.08,2025-07-07
2026-01,3.045,2025-07-07
2026-02,2.975,2025-06-30
2026-03,2.96,2025-07-06
2026-04,2.945,
2026-05,2.93,
2026-06,2.925,
2026-07,2.92,
2026-08,2.925,
2026-09,2.925,
2026-10,2.945,
2026-11,2.96,
2026-12,2.97,
