date,cash_rate,scrape_date
2025-04,4.085,2025-04-29
2025-05,3.98,2025-04-29
2025-06,3.795,2025-04-29
2025-07,3.645,2025-04-28
2025-08,3.425,2025-04-28
2025-09,3.325,2025-04-29
2025-10,3.155,2025-04-29
2025-11,2.985,2025-04-29
2025-12,2.94,2025-04-29
2026-01,2.93,2025-04-28
2026-02,2.895,
2026-03,2.875,
2026-04,2.855,
2026-05,2.84,
2026-06,2.84,
2026-07,2.84,
2026-08,2.845,
2026-09,2.845,
