date,cash_rate,scrape_date
2025-04,4.085,2025-04-16
2025-05,3.965,2025-04-16
2025-06,3.77,2025-04-16
2025-07,3.575,2025-04-16
2025-08,3.335,2025-04-08
2025-09,3.225,2025-04-16
2025-10,3.08,2025-04-16
2025-11,2.95,2025-04-15
2025-12,2.935,2025-04-15
2026-01,2.925,2025-04-02
2026-02,2.915,
2026-03,2.9,
2026-04,2.88,
2026-05,2.875,
2026-06,2.875,
2026-07,2.885,
2026-08,2.89,
2026-09,2.895,
