date,cash_rate,scrape_date
2026-06,4.35,2026-06-03
2026-07,4.355,2026-06-04
2026-08,4.44,2026-06-04
2026-09,4.48,2026-06-02
2026-10,4.525,2026-05-27
2026-11,4.57,2026-05-18
2026-12,4.59,2026-05-29
2027-01,4.59,2026-05-18
2027-02,4.59,
2027-03,4.59,
2027-04,4.58,
2027-05,4.565,
2027-06,4.555,
2027-07,4.53,
2027-08,4.51,
2027-09,4.49,
2027-10,4.465,
2027-11,4.44,
