date,cash_rate,scrape_date
2025-11,3.595,2025-11-20
2025-12,3.59,2025-11-20
2026-01,3.585,2025-11-20
2026-02,3.545,2025-11-19
2026-03,3.535,2025-11-20
2026-04,3.52,2025-11-19
2026-05,3.48,2025-11-13
2026-06,3.475,2025-11-18
2026-07,3.49,
2026-08,3.5,
2026-09,3.505,2025-11-04
2026-10,3.515,2025-11-04
2026-11,3.53,2025-11-04
2026-12,3.545,2025-11-04
2027-01,3.55,
2027-02,3.57,
2027-03,3.58,
2027-04,3.59,
